Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,Pk_save%,PSxG,PSxG/SoT,PSxG+/-,/90,launch_cmp,launch_att,launch_cmp%,pass_att,Thr,launch_pass%,pass_avglen,Gk_att,Gk_launched%,Gk_avglen,Stp,Stp%,#OPA,#OPA/90,AvgDist
Alexandre Letellier,FRA,GK,Paris S-G,Ligue 1,30,1990,1,0,8,0.1,0,0,0,0,,0,0,0,1,,0,0,0,,0,,0,0,0,0,,2,0,0,22,1,0,34,0,0,0,0,
Luca Lezzerini,ITA,GK,Venezia,Serie A,26,1995,6,6,495,5.5,9,1.64,39,30,76.9,1,1,3,0,0,0,0,0,,9.3,0.25,0.3,0.05,22,59,37.3,155,39,28.4,30.3,44,34.1,31,2,2,3,0.55,13.8
Andreas Linde,SWE,GK,Greuther Fürth,Bundesliga,28,1993,12,12,1080,12,24,2,62,39,62.9,1,5,6,3,25,1,1,0,0,19.7,0.31,-3.3,-0.27,63,211,29.9,408,69,39,35.1,87,59.8,44.8,13,5.7,10,0.83,13.8
Hugo Lloris,FRA,GK,Tottenham,Premier League,34,1986,38,38,3420,38,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,37.6,0.26,-1.4,-0.04,115,279,41.2,676,161,29.6,31,278,28.4,26.5,33,5.8,45,1.18,14.2
Anthony Lopes,POR,GK,Lyon,Ligue 1,30,1990,34,34,2982,33.1,45,1.36,148,105,71.6,14,9,9,8,23.5,4,3,1,25,42.7,0.26,0.7,0.02,113,263,43,910,160,23,29.3,219,24.7,31.4,17,4.1,28,0.85,14.6
Diego López,ESP,GK,Espanyol,La Liga,39,1981,36,36,3177,35.3,49,1.39,157,110,70.7,9,11,14,9,25,4,3,0,0,50.3,0.31,3.3,0.09,158,429,36.8,859,207,33.8,33.8,298,46.6,38.7,35,5.7,43,1.22,13.7
Pau López,ESP,GK,Marseille,Ligue 1,26,1994,29,29,2610,29,31,1.07,86,55,68.6,15,6,8,10,34.5,4,4,0,0,30.2,0.32,-0.8,-0.03,79,248,31.9,1166,145,16.8,25.8,167,31.1,33.4,19,7,46,1.59,17.8
Jonas Lössl,DEN,GK,Brentford,Premier League,32,1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,,3.2,0.46,-1.8,-0.9,9,25,36,48,6,43.8,35.7,13,30.8,31.7,1,3.3,5,2.5,22.7
Marcel Lotka,POL,GK,Hertha BSC,Bundesliga,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,13.8,0.23,-6.2,-0.63,63,188,33.5,262,47,52.3,39.7,73,69.9,52.5,13,9,10,1.02,12.1
Andriy Lunin,UKR,GK,Real Madrid,La Liga,22,1999,2,2,180,2,2,1,9,6,88.9,0,1,1,0,0,2,1,1,50,3.6,0.22,1.6,0.81,5,10,50,57,13,7,23.3,23,26.1,33.6,3,7.7,0,0,9.9
